"Date","Country","Production_Costs"
"2020-01-31","Germany",4806.00713603861
"2020-02-29","Germany",2937.24604986889
"2020-03-31","Germany",4402.09470463756
"2020-04-30","Germany",3472.81236323752
"2020-05-31","Germany",NA
"2020-06-30","Germany",2962.30183206297
"2020-07-31","Germany",3567.60699419262
"2020-08-31","Germany",2976.67809336394
"2020-09-30","Germany",2137.7717226202
"2020-10-31","Germany",3097.44763841025
"2020-11-30","Germany",2749.29440515747
"2020-12-31","Germany",2954.19109282639
"2021-01-31","Germany",NA
"2021-02-28","Germany",NA
"2021-03-31","Germany",6184.27819554261
"2021-04-30","Germany",6286.71050369212
"2021-05-31","Germany",6111.14865276954
"2021-06-30","Germany",4708.22282737573
"2021-07-31","Germany",5171.41408086384
"2021-08-31","Germany",5426.05451653496
"2021-09-30","Germany",4307.4341739395
"2021-10-31","Germany",4428.38309714567
"2021-11-30","Germany",NA
"2021-12-31","Germany",4044.83903672963
"2022-01-31","Germany",6250.67526476186
"2022-02-28","Germany",NA
"2022-03-31","Germany",7413.87691976103
"2022-04-30","Germany",7312.22652171796
"2022-05-31","Germany",7055.54621052833
"2022-06-30","Germany",6469.39650446269
"2022-07-31","Germany",6905.27001859147
"2022-08-31","Germany",6647.36703908218
"2022-09-30","Germany",4899.73176713516
"2022-10-31","Germany",NA
"2022-11-30","Germany",4999.552541018
"2022-12-31","Germany",7400.66909011268
"2023-01-31","Germany",6303.22866834166
"2023-02-28","Germany",8013.6590351955
"2023-03-31","Germany",NA
"2023-04-30","Germany",7333.64126999968
"2023-05-31","Germany",NA
"2023-06-30","Germany",8364.65071992174
"2023-07-31","Germany",8620.71811933241
"2023-08-31","Germany",6117.78591398693
"2023-09-30","Germany",8232.78280908837
"2023-10-31","Germany",6084.82576895956
"2023-11-30","Germany",9233.94563155675
"2023-12-31","Germany",NA
"2024-01-31","Germany",10444.8230640434
"2024-02-29","Germany",10313.4548742736
"2024-03-31","Germany",NA
"2024-04-30","Germany",11023.7872032823
"2024-05-31","Germany",9543.08684787198
"2024-06-30","Germany",9704.41076595881
"2024-07-31","Germany",NA
"2024-08-31","Germany",9926.25893229701
"2024-09-30","Germany",8973.56235278823
"2024-10-31","Germany",8898.82112305054
"2024-11-30","Germany",7209.03393415258
"2024-12-31","Germany",8614.59725430707
"2020-01-31","France",2503.22413027392
"2020-02-29","France",4578.04641790477
"2020-03-31","France",3702.86795950314
"2020-04-30","France",NA
"2020-05-31","France",3536.87058775611
"2020-06-30","France",3889.68200912908
"2020-07-31","France",NA
"2020-08-31","France",2813.04095231578
"2020-09-30","France",NA
"2020-10-31","France",2621.83576617597
"2020-11-30","France",4545.22838443154
"2020-12-31","France",NA
"2021-01-31","France",3894.84558658319
"2021-02-28","France",NA
"2021-03-31","France",7017.79572976127
"2021-04-30","France",4282.9334751872
"2021-05-31","France",6995.02754333343
"2021-06-30","France",4451.43743591632
"2021-07-31","France",5527.05382039376
"2021-08-31","France",4224.58327998836
"2021-09-30","France",4810.24695656802
"2021-10-31","France",4578.67291314816
"2021-11-30","France",4348.71295191217
"2021-12-31","France",5570.65527284089
"2022-01-31","France",NA
"2022-02-28","France",6621.75388553231
"2022-03-31","France",6850.96145702437
"2022-04-30","France",6366.4348663101
"2022-05-31","France",NA
"2022-06-30","France",NA
"2022-07-31","France",NA
"2022-08-31","France",4493.86702455828
"2022-09-30","France",4790.61227989169
"2022-10-31","France",6300.63340122347
"2022-11-30","France",6063.46731773695
"2022-12-31","France",6067.55454102343
"2023-01-31","France",6355.20510205089
"2023-02-28","France",6781.66408739509
"2023-03-31","France",7925.76849460905
"2023-04-30","France",9507.46035761757
"2023-05-31","France",8860.3261340096
"2023-06-30","France",7259.57669280423
"2023-07-31","France",8165.53622131969
"2023-08-31","France",8150.31064696428
"2023-09-30","France",7748.30385162568
"2023-10-31","France",5210.88892024349
"2023-11-30","France",8229.30724355232
"2023-12-31","France",8492.6115037277
"2024-01-31","France",8449.81329474412
"2024-02-29","France",NA
"2024-03-31","France",11616.4621967848
"2024-04-30","France",9957.38884756887
"2024-05-31","France",NA
"2024-06-30","France",9811.24389990433
"2024-07-31","France",8001.36808274211
"2024-08-31","France",NA
"2024-09-30","France",9848.00768789654
"2024-10-31","France",NA
"2024-11-30","France",9692.1194192164
"2024-12-31","France",8132.61362108753
"2020-01-31","Italy",NA
"2020-02-29","Italy",2938.17231852791
"2020-03-31","Italy",4954.73199803541
"2020-04-30","Italy",3825.71438248043
"2020-05-31","Italy",4597.68517055389
"2020-06-30","Italy",4271.21933285585
"2020-07-31","Italy",NA
"2020-08-31","Italy",1764.61820393678
"2020-09-30","Italy",3618.60042725095
"2020-10-31","Italy",2279.49526399445
"2020-11-30","Italy",2425.26022230195
"2020-12-31","Italy",3117.78156890583
"2021-01-31","Italy",4271.64412241576
"2021-02-28","Italy",4939.39736128887
"2021-03-31","Italy",NA
"2021-04-30","Italy",4249.39602398495
"2021-05-31","Italy",NA
"2021-06-30","Italy",4783.09047347365
"2021-07-31","Italy",3580.29889151284
