Country,TotalRevenue,TotalQuantity,NumberOfTransactions
Australia,138521.30999999956,83901,57
Austria,10198.679999999997,4881,17
Bahrain,548.4,260,2
Belgium,41196.33999999997,23237,98
Brazil,1143.6000000000001,356,1
Canada,3666.380000000001,2763,6
Channel Islands,20450.439999999962,9491,26
Cyprus,13590.379999999994,6361,16
Czech Republic,826.7400000000001,671,2
Denmark,18955.339999999997,8235,18
EIRE,265545.8999999985,140275,260
European Community,1300.2500000000002,499,4
Finland,22546.079999999973,10704,41
France,209024.0499999997,111471,389
Germany,228867.13999999844,119261,457
Greece,4760.5199999999995,1557,5
Iceland,4309.999999999997,2458,7
Israel,7221.689999999999,4046,5
Italy,17483.240000000005,8112,38
Japan,37416.37000000001,26016,19
Lebanon,1693.8800000000003,386,1
Lithuania,1661.06,652,4
Malta,2725.59,970,5
Netherlands,285446.34,200361,94
Norway,36165.440000000046,19336,36
Poland,7334.649999999997,3684,19
Portugal,33439.890000000014,16122,57
RSA,1002.3099999999998,351,1
Saudi Arabia,145.92,80,1
Singapore,21279.289999999994,5241,7
Spain,61577.10999999997,27940,90
Sweden,38378.33000000003,36083,36
Switzerland,56443.95000000004,30082,51
USA,3580.3900000000012,2458,5
United Arab Emirates,1902.2800000000007,982,3
United Kingdom,7308391.5540030645,4256740,16646
Unspecified,2667.0700000000006,1789,8
